"Question","Intent","Answer"
"Hi","greeting_help","Hello! How can I help you today?"
"Hello","greeting_help","Hello! How can I help you today?"
"Hey","greeting_help","Hello! How can I help you today?"
"Hey there","greeting_help","Hello! How can I help you today?"
"Hi there","greeting_help","Hello! How can I help you today?"
"Hello there","greeting_help","Hello! How can I help you today?"
"Good morning","greeting_help","Hello! How can I help you today?"
"Good afternoon","greeting_help","Hello! How can I help you today?"
"Good evening","greeting_help","Hello! How can I help you today?"
"Greetings","greeting_help","Hello! How can I help you today?"
"Hi chatbot","greeting_help","Hello! How can I help you today?"
"Hello chatbot","greeting_help","Hello! How can I help you today?"
"Hey bot","greeting_help","Hello! How can I help you today?"
"Hi assistant","greeting_help","Hello! How can I help you today?"
"Hello assistant","greeting_help","Hello! How can I help you today?"
"Hi AI","greeting_help","Hello! How can I help you today?"
"Hello AI","greeting_help","Hello! How can I help you today?"
"Hey AI","greeting_help","Hello! How can I help you today?"
"Hi GPGC bot","greeting_help","Hello! How can I help you today?"
"Hello GPGC assistant","greeting_help","Hello! How can I help you today?"
"Can you help me?","greeting_help","Hello! How can I help you today?"
"I need help","greeting_help","Hello! How can I help you today?"
"Please help me","greeting_help","Hello! How can I help you today?"
"Help me","greeting_help","Hello! How can I help you today?"
"Need assistance","greeting_help","Hello! How can I help you today?"
"I need assistance","greeting_help","Hello! How can I help you today?"
"Can you assist me?","greeting_help","Hello! How can I help you today?"
"I want some help","greeting_help","Hello! How can I help you today?"
"I need some help","greeting_help","Hello! How can I help you today?"
"Can you guide me?","greeting_help","Hello! How can I help you today?"
"Guide me please","greeting_help","Hello! How can I help you today?"
"I have a question","greeting_help","Hello! How can I help you today?"
"I want to ask something","greeting_help","Hello! How can I help you today?"
"Can I ask a question?","greeting_help","Hello! How can I help you today?"
"May I ask something?","greeting_help","Hello! How can I help you today?"
"I need information","greeting_help","Hello! How can I help you today?"
"Looking for information","greeting_help","Hello! How can I help you today?"
"Can you give information?","greeting_help","Hello! How can I help you today?"
"Can you provide info?","greeting_help","Hello! How can I help you today?"
"Hello can you help?","greeting_help","Hello! How can I help you today?"
"Hi can you assist?","greeting_help","Hello! How can I help you today?"
"Hey I need help","greeting_help","Hello! How can I help you today?"
"Hello I have a query","greeting_help","Hello! How can I help you today?"
"Hi I have a question","greeting_help","Hello! How can I help you today?"
"Need guidance","greeting_help","Hello! How can I help you today?"
"I need guidance","greeting_help","Hello! How can I help you today?"
"Please guide me","greeting_help","Hello! How can I help you today?"
"Support needed","greeting_help","Hello! How can I help you today?"
"I need support","greeting_help","Hello! How can I help you today?"
"Can you support me?","greeting_help","Hello! How can I help you today?"
"Hello support","greeting_help","Hello! How can I help you today?"
"Hi support team","greeting_help","Hello! How can I help you today?"
"Hello help desk","greeting_help","Hello! How can I help you today?"
"Hi help desk","greeting_help","Hello! How can I help you today?"
"Hey help me please","greeting_help","Hello! How can I help you today?"
"Hello please help","greeting_help","Hello! How can I help you today?"
"Hi I need info","greeting_help","Hello! How can I help you today?"
"Hello I need info","greeting_help","Hello! How can I help you today?"
"Hi can I get help?","greeting_help","Hello! How can I help you today?"
"Hello can I ask?","greeting_help","Hello! How can I help you today?"
"I want assistance","greeting_help","Hello! How can I help you today?"
"I want help now","greeting_help","Hello! How can I help you today?"
"Help required","greeting_help","Hello! How can I help you today?"
"Need help urgently","greeting_help","Hello! How can I help you today?"
"Hello I need assistance","greeting_help","Hello! How can I help you today?"
"Hi I need assistance","greeting_help","Hello! How can I help you today?"
"Hey can you help me?","greeting_help","Hello! How can I help you today?"
"Hello can you guide me?","greeting_help","Hello! How can I help you today?"
"Hi can you guide me?","greeting_help","Hello! How can I help you today?"
"I am looking for help","greeting_help","Hello! How can I help you today?"
"I am looking for assistance","greeting_help","Hello! How can I help you today?"
"Greetings I need help","greeting_help","Hello! How can I help you today?"
"Good day","greeting_help","Hello! How can I help you today?"
"Good day can you help?","greeting_help","Hello! How can I help you today?"
"Hello there I need help","greeting_help","Hello! How can I help you today?"
"Hi there I need help","greeting_help","Hello! How can I help you today?"
"Hey there can you assist?","greeting_help","Hello! How can I help you today?"
"What is Government Postgraduate College Mansehra?","college_introduction","Government Postgraduate College Mansehra is a public-sector educational institution serving students since 1958 with intermediate, degree, postgraduate, and BS programs."
"Tell me about Government Postgraduate College Mansehra.","college_introduction","Government Postgraduate College Mansehra is a public-sector educational institution serving students since 1958 with intermediate, degree, postgraduate, and BS programs."
"Give an introduction of GC Mansehra.","college_introduction","Government Postgraduate College Mansehra is a public-sector educational institution serving students since 1958 with intermediate, degree, postgraduate, and BS programs."
"Describe Government Postgraduate College Mansehra.","college_introduction","Government Postgraduate College Mansehra is a public-sector educational institution serving students since 1958 with intermediate, degree, postgraduate, and BS programs."
"Provide details about GC Mansehra.","college_introduction","Government Postgraduate College Mansehra is a public-sector educational institution serving students since 1958 with intermediate, degree, postgraduate, and BS programs."
"Introduce GC Mansehra.","college_introduction","Government Postgraduate College Mansehra is a public-sector educational institution serving students since 1958 with intermediate, degree, postgraduate, and BS programs."
"What kind of college is GC Mansehra?","college_introduction","Government Postgraduate College Mansehra is a public-sector educational institution serving students since 1958 with intermediate, degree, postgraduate, and BS programs."
"Give a brief about GC Mansehra.","college_introduction","Government Postgraduate College Mansehra is a public-sector educational institution serving students since 1958 with intermediate, degree, postgraduate, and BS programs."
"GC Mansehra introduction?","college_introduction","Government Postgraduate College Mansehra is a public-sector educational institution serving students since 1958 with intermediate, degree, postgraduate, and BS programs."
"Information about Government Postgraduate College Mansehra?","college_introduction","Government Postgraduate College Mansehra is a public-sector educational institution serving students since 1958 with intermediate, degree, postgraduate, and BS programs."
"Tell me something about GC Mansehra.","college_introduction","Government Postgraduate College Mansehra is a public-sector educational institution serving students since 1958 with intermediate, degree, postgraduate, and BS programs."
"Give me a summary of GC Mansehra.","college_introduction","Government Postgraduate College Mansehra is a public-sector educational institution serving students since 1958 with intermediate, degree, postgraduate, and BS programs."
"Provide an overview of GC Mansehra.","college_introduction","Government Postgraduate College Mansehra is a public-sector educational institution serving students since 1958 with intermediate, degree, postgraduate, and BS programs."
